Date,price,zone
11/1/2016 12:00:00 AM,17.73169,PGAE
11/1/2016 12:00:00 AM,16.84036,SCE
11/1/2016 12:00:00 AM,16.82829,SDGE
11/1/2016 12:00:00 AM,16.56624,VEA
11/1/2016 1:00:00 AM,19.09496,PGAE
11/1/2016 1:00:00 AM,18.13362,SCE
11/1/2016 1:00:00 AM,18.16146,SDGE
11/1/2016 1:00:00 AM,17.85153,VEA
11/1/2016 2:00:00 AM,18.21474,PGAE
11/1/2016 2:00:00 AM,17.34399,SCE
11/1/2016 2:00:00 AM,17.41847,SDGE
11/1/2016 2:00:00 AM,17.08685,VEA
11/1/2016 3:00:00 AM,17.59101,PGAE
11/1/2016 3:00:00 AM,16.84845,SCE
11/1/2016 3:00:00 AM,17.01346,SDGE
11/1/2016 3:00:00 AM,16.64390,VEA
11/1/2016 4:00:00 AM,20.74000,PGAE
11/1/2016 4:00:00 AM,19.94801,SCE
11/1/2016 4:00:00 AM,20.15311,SDGE
11/1/2016 4:00:00 AM,19.70838,VEA
11/1/2016 5:00:00 AM,25.47376,PGAE
11/1/2016 5:00:00 AM,24.50360,SCE
11/1/2016 5:00:00 AM,24.73055,SDGE
11/1/2016 5:00:00 AM,24.16441,VEA
11/1/2016 6:00:00 AM,34.95449,PGAE
11/1/2016 6:00:00 AM,33.31674,SCE
11/1/2016 6:00:00 AM,33.61978,SDGE
11/1/2016 6:00:00 AM,32.71748,VEA
11/1/2016 7:00:00 AM,42.44678,PGAE
11/1/2016 7:00:00 AM,39.91319,SCE
11/1/2016 7:00:00 AM,40.26633,SDGE
11/1/2016 7:00:00 AM,38.97696,VEA
11/1/2016 8:00:00 AM,37.66899,PGAE
11/1/2016 8:00:00 AM,28.80653,SCE
11/1/2016 8:00:00 AM,29.20539,SDGE
11/1/2016 8:00:00 AM,27.89581,VEA
11/1/2016 9:00:00 AM,34.22684,PGAE
11/1/2016 9:00:00 AM,15.60813,SCE
11/1/2016 9:00:00 AM,16.30011,SDGE
11/1/2016 9:00:00 AM,16.17986,VEA
11/1/2016 10:00:00 AM,31.32786,PGAE
11/1/2016 10:00:00 AM,10.53707,SCE
11/1/2016 10:00:00 AM,11.71172,SDGE
11/1/2016 10:00:00 AM,10.17221,VEA
11/1/2016 11:00:00 AM,28.60869,PGAE
11/1/2016 11:00:00 AM,14.99104,SCE
11/1/2016 11:00:00 AM,13.71566,SDGE
11/1/2016 11:00:00 AM,9.86476,VEA
11/1/2016 12:00:00 PM,28.21435,PGAE
11/1/2016 12:00:00 PM,16.03134,SCE
11/1/2016 12:00:00 PM,14.23320,SDGE
