format i.auto: a_i, d_i, r_i, e_i
1.auto: 15:56, 18:30, 0.1675 kW, 2.68 kW
2.auto: 1:48, 4:00, 0.6209285714285714 kW, 8.693 kW
3.auto: 3:13, 16:47, 0.07930487804878049 kW, 6.503 kW
4.auto: 2:25, 2:36, 0.77 kW, 1.155 kW
5.auto: 18:43, 23:33, 0.0856949152542373 kW, 2.528 kW
6.auto: 15:47, 21:46, 0.07260273972602739 kW, 2.65 kW
7.auto: 1:21, 11:31, 0.016585365853658537 kW, 1.02 kW
8.auto: 0:03, 4:31, 0.4252727272727273 kW, 11.695 kW
9.auto: 16:01, 19:20, 0.4999024390243902 kW, 10.248 kW
10.auto: 11:31, 12:51, 0.5449411764705882 kW, 4.632 kW
