,čas (v hodinách),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0-24,(0-24)
0,1.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.520913469950155,2.5827390969762867,2.834441082437485,1.309906398662116,0.0,0.0,0.0,0.0,10.248000048026043,2164.5252942535817
1,2.auto,0.0,0.0,0.0,0.7930487815875092,0.9516585377529,0.9516585374718912,0.9516585371905655,0.9516585369085699,0.9516585366244444,0.9516585362813265,0.0,0.0,0.0,0.0,0.0,0.0,3.3227803098485187e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5030000071399865,510.48550086353123
2,3.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.591979245784696e-09,0.32968134068309535,1.0283389834997612,1.028338983199665,0.14164064799829534,0.0,2.5279999579727965,632.9499552920771
3,4.auto,0.0,0.0,1.5878518288404346,5.368148186961381,1.6736140937658273e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.956000015818553,274.9259062494998
4,5.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1674869369766459,1.0457655312160685,0.929921090847623,0.5368264886546157,0.0,0.0,0.0,0.0,0.0,2.6800000476949535,550.6705014946815
5,6.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8373919904945257,0.00015915979473176501,0.00015692617258817283,0.00015621941117211586,1.6258986166754041,3.251636364274826,3.251636363989435,2.4459643265873914,0.0,13.412999967400072,3202.7897063127825
6,7.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6387942932125585,1.1598893726656272,0.9618550830822253,0.9804933264502205,1.345967969826084,0.0,0.0,0.0,0.0,6.0870000452367155,1269.2987761213367
7,8.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6246797655748376,1.8767351035030548,1.999490182048133,1.2220949969000747,0.0,0.0,0.0,0.0,5.7230000480261,1244.3817909397576
8,9.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5733658539326484,0.7326341012217205,1.1539338902488787e-11,0.0,1.305999955165908,330.09945161791904
9,Súčet nabitej energie v čase,0.0,0.0,1.5878518288404346,6.161196968548892,0.951658537769636,0.9516585374718912,0.9516585371905653,0.9516585369085697,0.9516585366244446,0.9516585362813266,0.0,0.0,0.0,0.0,0.0,4.64367322068373,6.3514073025241995,6.351407300581777,6.351407301593606,5.833549322746773,4.853341201707235,5.01260944841082,2.5876049745972263,0.0,55.444000092481126,10180.126883145167
10,Náklady spotrebiteľov energie v čase,0.0,0.0,53.986962180570735,254.643517285592,50.91373177030748,62.33363420412969,73.75353663198922,85.17343905303639,96.59334146709662,108.01324386738261,0.0,0.0,0.0,0.0,0.0,867.1218287411848,1254.4029422465894,1330.6198294716023,1406.8367173078798,1359.803405922609,1192.3553137993406,1290.5717375941986,693.0037016016585,0.0,10180.126883145167,-
